year,bujiness_classify,doc_type,label_jpn,prefix,element,periodType,balance,abstract
2014,cai,bs,減損損失累計額、建物,jppfs_cor,AccumulatedImpairmentLossBuildings,instant,debit,false
2014,cai,bs,減価償却累計額及び減損損失累計額、建物,jppfs_cor,AccumulatedDepreciationAndImpairmentLossBuildings,instant,debit,false
2014,cai,bs,建物（純額）,jppfs_cor,BuildingsNet,instant,debit,false
2014,cai,bs,建物附属設備,jppfs_cor,BuildingsAndAccompanyingFacilities,instant,debit,false
2014,cai,bs,減価償却累計額、建物附属設備,jppfs_cor,AccumulatedDepreciationBuildingsAndAccompanyingFacilities,instant,debit,false
2014,cai,bs,減損損失累計額、建物附属設備,jppfs_cor,AccumulatedImpairmentLossBuildingsAndAccompanyingFacilities,instant,debit,false
2014,cai,bs,減価償却累計額及び減損損失累計額、建物附属設備,jppfs_cor,AccumulatedDepreciationAndImpairmentLossBuildingsAndAccompanyingFacilities,instant,debit,false
2014,cai,bs,建物附属設備（純額）,jppfs_cor,BuildingsAndAccompanyingFacilitiesNet,instant,debit,false
2014,cai,bs,構築物,jppfs_cor,Structures,instant,debit,false
2014,cai,bs,減価償却累計額、構築物,jppfs_cor,AccumulatedDepreciationStructures,instant,debit,false
2014,cai,bs,減損損失累計額、構築物,jppfs_cor,AccumulatedImpairmentLossStructures,instant,debit,false
2014,cai,bs,減価償却累計額及び減損損失累計額、構築物,jppfs_cor,AccumulatedDepreciationAndImpairmentLossStructures,instant,debit,false
2014,cai,bs,構築物（純額）,jppfs_cor,StructuresNet,instant,debit,false
2014,cai,bs,建物及び構築物,jppfs_cor,BuildingsAndStructures,instant,debit,false
2014,cai,bs,減価償却累計額、建物及び構築物,jppfs_cor,AccumulatedDepreciationBuildingsAndStructures,instant,debit,false
2014,cai,bs,減損損失累計額、建物及び構築物,jppfs_cor,AccumulatedImpairmentLossBuildingsAndStructures,instant,debit,false
2014,cai,bs,減価償却累計額及び減損損失累計額、建物及び構築物,jppfs_cor,AccumulatedDepreciationAndImpairmentLossBuildingsAndStructures,instant,debit,false
2014,cai,bs,建物及び構築物（純額）,jppfs_cor,BuildingsAndStructuresNet,instant,debit,false
2014,cai,bs,機械及び装置並びにコンベヤー、ホイスト、起重機等の搬送設備その他の附属設備、有形固定資産 [タイトル項目],jppfs_cor,MachineryEquipmentAndOtherFacilitiesConveyorHoistCraneAndOtherPPEAbstract,duration,,true
2014,cai,bs,機械及び装置,jppfs_cor,MachineryAndEquipment,instant,debit,false
2014,cai,bs,減価償却累計額、機械及び装置,jppfs_cor,AccumulatedDepreciationMachineryAndEquipment,instant,debit,false
2014,cai,bs,減損損失累計額、機械及び装置,jppfs_cor,AccumulatedImpairmentLossMachineryAndEquipment,instant,debit,false
2014,cai,bs,減価償却累計額及び減損損失累計額、機械及び装置,jppfs_cor,AccumulatedDepreciationAndImpairmentLossMachineryAndEquipment,instant,debit,false
2014,cai,bs,機械及び装置（純額）,jppfs_cor,MachineryAndEquipmentNet,instant,debit,false
2014,cai,bs,船舶及び水上運搬具、有形固定資産 [タイトル項目],jppfs_cor,VesselsAndWaterDeliveryEquipmentPPEAbstract,duration,,true
2014,cai,bs,船舶,jppfs_cor,Vessels,instant,debit,false
2014,cai,bs,減価償却累計額、船舶,jppfs_cor,AccumulatedDepreciationVessels,instant,debit,false
2014,cai,bs,減損損失累計額、船舶,jppfs_cor,AccumulatedImpairmentLossVessels,instant,debit,false
2014,cai,bs,減価償却累計額及び減損損失累計額、船舶,jppfs_cor,AccumulatedDepreciationAndImpairmentLossVessels,instant,debit,false
2014,cai,bs,船舶（純額）,jppfs_cor,VesselsNet,instant,debit,false
2014,cai,bs,鉄道車両、自動車その他の陸上運搬具、有形固定資産 [タイトル項目],jppfs_cor,RailwayCarAndOtherLandDeliveryEquipmentPPEAbstract,duration,,true
2014,cai,bs,車両運搬具,jppfs_cor,Vehicles,instant,debit,false
2014,cai,bs,減価償却累計額、車両運搬具,jppfs_cor,AccumulatedDepreciationVehicles,instant,debit,false
2014,cai,bs,減損損失累計額、車両運搬具,jppfs_cor,AccumulatedImpairmentLossVehicles,instant,debit,false
2014,cai,bs,減価償却累計額及び減損損失累計額、車両運搬具,jppfs_cor,AccumulatedDepreciationAndImpairmentLossVehicles,instant,debit,false
2014,cai,bs,車両運搬具（純額）,jppfs_cor,VehiclesNet,instant,debit,false
2014,cai,bs,工具、器具及び備品,jppfs_cor,ToolsFurnitureAndFixtures,instant,debit,false
2014,cai,bs,減価償却累計額、工具、器具及び備品,jppfs_cor,AccumulatedDepreciationToolsFurnitureAndFixtures,instant,debit,false
2014,cai,bs,減損損失累計額、工具、器具及び備品,jppfs_cor,AccumulatedImpairmentLossToolsFurnitureAndFixtures,instant,debit,false
2014,cai,bs,減価償却累計額及び減損損失累計額、工具、器具及び備品,jppfs_cor,AccumulatedDepreciationAndImpairmentLossToolsFurnitureAndFixtures,instant,debit,false
2014,cai,bs,工具、器具及び備品（純額）,jppfs_cor,ToolsFurnitureAndFixturesNet,instant,debit,false
